name,latitude,longitude,info
Redentor,-19.9385628,-43.9385944,"{""@id"": ""node/324383510"", ""amenity"": ""restaurant"", ""name"": ""Redentor"", ""wheelchair"": ""no""}"
Rococco,-19.9375633,-43.9340848,"{""@id"": ""node/324383777"", ""amenity"": ""restaurant"", ""cuisine"": ""Massas"", ""name"": ""Rococco""}"
Bar da Dalva,-19.9349914,-43.9292622,"{""@id"": ""node/324384207"", ""amenity"": ""pub"", ""name"": ""Bar da Dalva"", ""name:pt"": ""Dalva Butiquim Musical""}"
Sushi Naka,-19.9338719,-43.9256679,"{""@id"": ""node/324384214"", ""addr:housenumber"": ""92"", ""addr:street"": ""Rua Gol\u00e7alves Dias"", ""amenity"": ""restaurant"", ""contact:phone"": ""+55 31 3287-2714"", ""cuisine"": ""sushi;japanese"", ""name"": ""Sushi Naka""}"
Chop Stick / Vinnil Cultura Bar,-19.9353545,-43.9359405,"{""@id"": ""node/324390463"", ""addr:city"": ""Belo Horizonte"", ""addr:housenumber"": ""1068"", ""addr:postcode"": ""30140-120"", ""addr:street"": ""Rua dos Inconfidentes"", ""amenity"": ""restaurant"", ""cuisine"": ""japanese"", ""name"": ""Chop Stick / Vinnil Cultura Bar""}"
Donna Margherita,-19.9274923,-43.9301419,"{""@id"": ""node/324390623"", ""addr:city"": ""Belo Horizonte"", ""addr:housenumber"": ""840"", ""addr:street"": ""Avenida Caranda\u00ed"", ""addr:suburb"": ""Funcion\u00e1rios"", ""amenity"": ""restaurant"", ""cuisine"": ""pizza"", ""name"": ""Donna Margherita""}"
La Greppia,-19.9254246,-43.9376923,"{""@id"": ""node/324498111"", ""amenity"": ""restaurant"", ""cuisine"": ""italian"", ""name"": ""La Greppia""}"
Loop Cervejaria & Steakhouse,-19.926055,-43.9472275,"{""@id"": ""node/324505308"", ""addr:housenumber"": ""1179"", ""addr:street"": ""Rua Rio Grande do Sul"", ""amenity"": ""pub"", ""created_by"": ""Merkaartor 0.12"", ""cuisine"": ""kebab;barbecue"", ""name"": ""Loop Cervejaria & Steakhouse"", ""opening_hours"": ""Mo-Sa 17:00-01:00"", ""phone"": ""+55 31 32916819""}"
Brasano Grill,-19.9304402,-43.9325665,"{""@id"": ""node/324654686"", ""amenity"": ""restaurant"", ""name"": ""Brasano Grill""}"
Raja Grill,-19.9634464,-43.9555182,"{""@id"": ""node/331924979"", ""addr:city"": ""Belo Horizonte"", ""addr:housenumber"": ""3385"", ""addr:street"": ""Avenida Raja Gabaglia"", ""addr:suburb"": ""S\u00e3o Bento"", ""amenity"": ""restaurant"", ""cuisine"": ""regional"", ""name"": ""Raja Grill""}"
Restaurante Azumi,-22.9642638,-43.1769321,"{""@id"": ""node/331955247"", ""addr:housenumber"": ""127"", ""addr:street"": ""Rua Ministro Viveiros de Castro"", ""amenity"": ""restaurant"", ""name"": ""Restaurante Azumi"", ""phone"": ""+55-21-22951098""}"
Esquina do Chopp,-22.9297093,-43.1776872,"{""@id"": ""node/332517429"", ""amenity"": ""pub"", ""created_by"": ""Potlatch 0.10f"", ""name"": ""Esquina do Chopp""}"
O Bom Galeto,-22.9300159,-43.1778119,"{""@id"": ""node/332517590"", ""amenity"": ""restaurant"", ""name"": ""O Bom Galeto""}"
Gambino,-22.9302317,-43.1781066,"{""@id"": ""node/332517598"", ""amenity"": ""restaurant"", ""name"": ""Gambino""}"
Paraíso do Chopp,-22.9300663,-43.1771984,"{""@id"": ""node/332517609"", ""addr:city"": ""Rio de Janeiro"", ""addr:street"": ""Rua Dois de Dezembro"", ""addr:suburb"": ""Catete"", ""amenity"": ""restaurant"", ""name"": ""Para\u00edso do Chopp""}"
Botequim do Borges,-22.9301058,-43.1768637,"{""@id"": ""node/332517610"", ""addr:city"": ""Rio de Janeiro"", ""addr:street"": ""Rua Dois de Dezembro"", ""addr:suburb"": ""Catete"", ""amenity"": ""restaurant"", ""name"": ""Botequim do Borges""}"
Pizzaria de Icaraí,-22.9028026,-43.1108805,"{""@id"": ""node/335418913"", ""amenity"": ""restaurant"", ""cuisine"": ""pizza"", ""name"": ""Pizzaria de Icara\u00ed""}"
Fundo do Baú,-19.9706816,-43.9516478,"{""@id"": ""node/335585738"", ""amenity"": ""pub"", ""created_by"": ""Merkaartor 0.12"", ""name"": ""Fundo do Ba\u00fa""}"
Spoleto,-22.9028369,-43.1114775,"{""@id"": ""node/338513869"", ""amenity"": ""restaurant"", ""cuisine"": ""italian"", ""name"": ""Spoleto""}"
Villa Rizza,-19.9319766,-43.9239685,"{""@id"": ""node/338835579"", ""amenity"": ""bar"", ""name"": ""Villa Rizza""}"
Xico da Carne,-19.9233467,-43.9472919,"{""@id"": ""node/338929712"", ""amenity"": ""pub"", ""created_by"": ""Merkaartor 0.13"", ""name"": ""Xico da Carne""}"
Glória Gourmet,-22.9240134,-43.1773548,"{""@id"": ""node/340461490"", ""addr:housenumber"": ""82"", ""addr:street"": ""Rua do Catete"", ""amenity"": ""restaurant"", ""cuisine"": ""barbecue"", ""name"": ""Gl\u00f3ria Gourmet"", ""name:pt"": ""Espetto Carioca""}"
Berbigão,-22.9258976,-43.1767661,"{""@id"": ""node/340473553"", ""addr:city"": ""Rio de Janeiro"", ""addr:housenumber"": ""150"", ""addr:postcode"": ""22220-000"", ""addr:street"": ""Rua do Catete"", ""addr:suburb"": ""Catete"", ""amenity"": ""restaurant"", ""name"": ""Berbig\u00e3o""}"
Macau,-19.9298122,-43.9468091,"{""@id"": ""node/343589438"", ""addr:housenumber"": ""1767"", ""addr:street"": ""Avenida Oleg\u00e1rio Maciel"", ""amenity"": ""restaurant"", ""cuisine"": ""chinese"", ""internet_access"": ""wlan"", ""name"": ""Macau"", ""opening_hours"": ""Mo off; Tu-Th 11:30-14:30,18:00-23:30; Fr 11:30-14:30,18:00-24:00; Sa 11:30-16:00,19:00-23:00; Su 11:30-16:30,19:00-23:00; PH 11:30-16:00,18:30-23:00"", ""phone"": ""+55 31 3337-3685"", ""source"": ""survey"", ""website"": ""https://www.restaurantemacau.com.br/""}"
Tasca do Edgar,-22.9360714,-43.1903342,"{""@id"": ""node/344562455"", ""addr:city"": ""Rio de Janeiro"", ""addr:housenumber"": ""34"", ""addr:street"": ""Rua Alice"", ""addr:suburb"": ""Laranjeiras"", ""amenity"": ""pub"", ""brewery"": ""yes"", ""name"": ""Tasca do Edgar""}"
Bar do Serafim,-22.9361502,-43.190246,"{""@id"": ""node/344563034"", ""addr:city"": ""Rio de Janeiro"", ""addr:housenumber"": ""24"", ""addr:street"": ""Rua Alice"", ""addr:suburb"": ""Laranjeiras"", ""amenity"": ""pub"", ""brewery"": ""yes"", ""name"": ""Bar do Serafim""}"
Café e Bar Vila Viçosa,-22.9333469,-43.1841151,"{""@id"": ""node/346248556"", ""addr:housenumber"": ""143G"", ""addr:street"": ""Rua das Laranjeiras"", ""addr:suburb"": ""Laranjeiras"", ""amenity"": ""pub"", ""name"": ""Caf\u00e9 e Bar Vila Vi\u00e7osa""}"
Farroupilha,-19.9299685,-43.9468574,"{""@id"": ""node/353134374"", ""amenity"": ""restaurant"", ""created_by"": ""Merkaartor 0.13"", ""name"": ""Farroupilha""}"
Restaurante Ches,-23.5569597,-46.750093,"{""@id"": ""node/395048585"", ""amenity"": ""restaurant"", ""name"": ""Restaurante Ches""}"
Real Astoria,-22.9488772,-43.1785387,"{""@id"": ""node/412280888"", ""amenity"": ""restaurant"", ""name"": ""Real Astoria""}"
Sassarue,-22.9507045,-43.1820396,"{""@id"": ""node/416165997"", ""addr:city"": ""Rio de Janeiro"", ""addr:country"": ""BR"", ""addr:street"": ""Rua Volunt\u00e1rios da P\u00e1tria"", ""amenity"": ""bar"", ""name"": ""Sassarue""}"
Rosa de Ouro,-22.9508357,-43.1823366,"{""@id"": ""node/416166020"", ""addr:city"": ""Rio de Janeiro"", ""addr:country"": ""BR"", ""addr:street"": ""Rua Volunt\u00e1rios da P\u00e1tria"", ""addr:suburb"": ""Botafogo"", ""amenity"": ""pub"", ""name"": ""Rosa de Ouro""}"
Panochelli,-22.9507442,-43.1821379,"{""@id"": ""node/416166022"", ""addr:city"": ""Rio de Janeiro"", ""addr:country"": ""BR"", ""addr:street"": ""Rua Volunt\u00e1rios da P\u00e1tria"", ""addr:suburb"": ""Botafogo"", ""amenity"": ""restaurant"", ""cuisine"": ""pizza"", ""name"": ""Panochelli""}"
VOID Botafogo,-22.9509442,-43.1827011,"{""@id"": ""node/416166035"", ""addr:city"": ""Rio de Janeiro"", ""addr:country"": ""BR"", ""addr:housenumber"": ""35"", ""addr:street"": ""Rua Volunt\u00e1rios da P\u00e1tria"", ""addr:suburb"": ""Botafogo"", ""amenity"": ""pub"", ""name"": ""VOID Botafogo"", ""phone"": ""+55 21 2266-3773""}"
Café e Bar 31,-22.9508898,-43.1825322,"{""@id"": ""node/416166048"", ""addr:city"": ""Rio de Janeiro"", ""addr:country"": ""BR"", ""addr:housenumber"": ""31"", ""addr:street"": ""Rua Volunt\u00e1rios da P\u00e1tria"", ""addr:suburb"": ""Botafogo"", ""amenity"": ""bar"", ""name"": ""Caf\u00e9 e Bar 31""}"
Versão Carioca,-22.9506517,-43.1819165,"{""@id"": ""node/416166055"", ""addr:city"": ""Rio de Janeiro"", ""addr:street"": ""Rua Volunt\u00e1rios da P\u00e1tria"", ""addr:suburb"": ""Botafogo"", ""amenity"": ""restaurant"", ""cuisine"": ""regional"", ""name"": ""Vers\u00e3o Carioca""}"
Alma Carioca,-22.9496797,-43.1821055,"{""@id"": ""node/416969460"", ""amenity"": ""restaurant"", ""name"": ""Alma Carioca""}"
Pane & Dolce,-22.9493074,-43.1823499,"{""@id"": ""node/416979554"", ""amenity"": ""restaurant"", ""name"": ""Pane & Dolce""}"
Galeteria e Restaurante Botafogo,-22.9513664,-43.1827366,"{""@id"": ""node/416979563"", ""addr:city"": ""Rio de Janeiro"", ""addr:country"": ""BR"", ""addr:housenumber"": ""170c"", ""addr:street"": ""Rua Professor \u00c1lvaro Ramos"", ""amenity"": ""restaurant"", ""name"": ""Galeteria e Restaurante Botafogo""}"
Ben Ali,-22.9484843,-43.1826709,"{""@id"": ""node/416979580"", ""amenity"": ""restaurant"", ""cuisine"": ""arab"", ""name"": ""Ben Ali""}"
Le Brants,-22.9347274,-43.1769409,"{""@id"": ""node/428670104"", ""addr:housenumber"": ""40"", ""addr:postcode"": ""22230-050"", ""addr:street"": ""Travessa dos Tamoios"", ""amenity"": ""restaurant"", ""cuisine"": ""pizza"", ""name"": ""Le Brants"", ""phone"": ""+552125582570""}"
Hortelã,-22.8941618,-43.1216149,"{""@id"": ""node/430992441"", ""addr:street"": ""Rua da Concei\u00e7\u00e3o"", ""amenity"": ""restaurant"", ""name"": ""Hortel\u00e3""}"
Antoniu's,-22.8941419,-43.1218678,"{""@id"": ""node/430992444"", ""addr:street"": ""Rua da Concei\u00e7\u00e3o"", ""amenity"": ""restaurant"", ""name"": ""Antoniu's""}"
Monteiro,-22.894122,-43.1221207,"{""@id"": ""node/430992449"", ""addr:street"": ""Rua da Concei\u00e7\u00e3o"", ""amenity"": ""restaurant"", ""name"": ""Monteiro""}"
Italiana,-22.894065,-43.1228271,"{""@id"": ""node/430992457"", ""addr:street"": ""Rua da Concei\u00e7\u00e3o"", ""amenity"": ""restaurant"", ""cuisine"": ""italian"", ""name"": ""Italiana""}"
Pizzaria Bella Capri,-22.9324897,-43.1821846,"{""@id"": ""node/431013480"", ""amenity"": ""restaurant"", ""cuisine"": ""pizza"", ""name"": ""Pizzaria Bella Capri""}"
Casa da Sardinha,-22.9325128,-43.1822551,"{""@id"": ""node/431013481"", ""addr:housenumber"": ""103C"", ""addr:street"": ""Rua das Laranjeiras"", ""amenity"": ""pub"", ""name"": ""Casa da Sardinha""}"
Catete Grill,-22.9288125,-43.1771066,"{""@id"": ""node/431013577"", ""addr:city"": ""Rio de Janeiro"", ""addr:country"": ""BR"", ""addr:housenumber"": ""239"", ""addr:postcode"": ""22220-000"", ""addr:street"": ""Rua do Catete"", ""addr:suburb"": ""Catete"", ""amenity"": ""restaurant"", ""name"": ""Catete Grill""}"
Graça da Villa,-22.9251038,-43.1765412,"{""@id"": ""node/431013594"", ""addr:city"": ""Rio de Janeiro"", ""addr:country"": ""BR"", ""addr:housenumber"": ""133"", ""addr:postcode"": ""22220-000"", ""addr:street"": ""Rua do Catete"", ""amenity"": ""restaurant"", ""name"": ""Gra\u00e7a da Villa"", ""phone"": ""+55-21-22257949; +55-21-22256007"", ""source"": ""survey"", ""website"": ""https://www.gracadavila.com.br/catete.html""}"
C.B. Primavera,-22.9221907,-43.1772624,"{""@id"": ""node/431750122"", ""amenity"": ""bar"", ""name"": ""C.B. Primavera""}"
Restaurante Badalado,-22.9233614,-43.177467,"{""@id"": ""node/431750195"", ""amenity"": ""pub"", ""name"": ""Restaurante Badalado""}"
Alpha Point,-23.4949506,-46.8492427,"{""@id"": ""node/435264989"", ""amenity"": ""restaurant"", ""name"": ""Alpha Point""}"
America,-23.49289,-46.8515879,"{""@id"": ""node/435883733"", ""amenity"": ""restaurant"", ""name"": ""America"", ""wheelchair"": ""yes""}"
Novilho de Prata,-23.49289,-46.8512532,"{""@id"": ""node/435883734"", ""amenity"": ""restaurant"", ""name"": ""Novilho de Prata"", ""wheelchair"": ""yes""}"
La Ville,-23.4940563,-46.8484188,"{""@id"": ""node/435905687"", ""amenity"": ""restaurant"", ""name"": ""La Ville"", ""wheelchair"": ""yes""}"
Kyoto Temakeria,-23.4957237,-46.8489786,"{""@id"": ""node/435905694"", ""amenity"": ""restaurant"", ""fixme"": ""Confirmar nome"", ""name"": ""Kyoto Temakeria""}"
choperia siri bar,-23.5373131,-46.6843487,"{""@id"": ""node/440405776"", ""amenity"": ""restaurant"", ""name"": ""choperia siri bar""}"
Churrascaria Barranco,-30.0405812,-51.1922847,"{""@id"": ""node/441020942"", ""addr:housenumber"": ""1578"", ""addr:street"": ""Avenida Prot\u00e1sio Alves"", ""addr:suburb"": ""Alto Petr\u00f3polis"", ""amenity"": ""restaurant"", ""cuisine"": ""barbecue"", ""description"": ""A lista de cl\u00e1ssicos no Barranco \u00e9 t\u00e3o extensa quanto a quilometragem do carrinho de saladas: a polentinha, o lombo com queijo, a picanha \u00e0 Barranco, o fil\u00e9 \u00e0 parmegiana. Anivers\u00e1rios em fam\u00edlia nas mesas na rua s\u00e3o programas mais que completos."", ""name"": ""Churrascaria Barranco"", ""opening_hours"": ""Mo-Su 11:30-01:00"", ""phone"": ""+55 51 3331-6172"", ""website"": ""https://churrascariabarranco.com.br/"", ""wheelchair"": ""limited""}"
Bazim,-19.8567,-43.9426088,"{""@id"": ""node/443852898"", ""amenity"": ""pub"", ""name"": ""Bazim""}"
Malagueta,-23.4965037,-46.8516,"{""@id"": ""node/445445588"", ""amenity"": ""restaurant"", ""name"": ""Malagueta""}"
Black Horse,-23.485354,-46.8563559,"{""@id"": ""node/445445595"", ""amenity"": ""pub"", ""name"": ""Black Horse""}"
Kyoto,-23.4855114,-46.8563215,"{""@id"": ""node/445445597"", ""amenity"": ""restaurant"", ""name"": ""Kyoto""}"
Maria João,-23.4854563,-46.8561241,"{""@id"": ""node/445445599"", ""amenity"": ""bar"", ""name"": ""Maria Jo\u00e3o""}"
Tenis Club,-23.4905471,-46.8437063,"{""@id"": ""node/445449949"", ""amenity"": ""restaurant"", ""name"": ""Tenis Club""}"
Alpha Grill,-23.4926551,-46.8480326,"{""@id"": ""node/445662677"", ""amenity"": ""restaurant"", ""name"": ""Alpha Grill""}"
Padaria Bakery,-22.9120724,-43.1866864,"{""@id"": ""node/448709913"", ""addr:city"": ""Rio de Janeiro"", ""addr:housenumber"": ""194"", ""addr:postcode"": ""20230-152"", ""addr:street"": ""Avenida Mem de S\u00e1"", ""addr:suburb"": ""Centro"", ""air_conditioning"": ""yes"", ""amenity"": ""restaurant"", ""cuisine"": ""pizza"", ""delivery"": ""yes"", ""description"": ""Em reforma. Banners e cartazes j\u00e1 posicionados."", ""name"": ""Padaria Bakery"", ""opening_hours"": ""Mo-Su 11:00-00:00"", ""source"": ""survey""}"
Oca de Savoia,-30.0479883,-51.221707,"{""@id"": ""node/448709999"", ""amenity"": ""restaurant"", ""description"": ""Rede de pizzarias para a fam\u00edlia com rod\u00edzio ou pizzas individuais, al\u00e9m de massas e saladas."", ""name"": ""Oca de Savoia"", ""opening_hours"": ""Mo-Su 11:30-15:00, 18:00-00:00"", ""phone"": ""+55 51 3363-3232"", ""wheelchair"": ""limited""}"
Ativa Restaurante,-22.9010433,-43.1048526,"{""@id"": ""node/448786363"", ""addr:city"": ""Niter\u00f3i"", ""addr:housenumber"": ""119"", ""addr:postcode"": ""24230-230"", ""addr:street"": ""Rua Doutor Herotides de Oliveira"", ""amenity"": ""restaurant"", ""name"": ""Ativa Restaurante"", ""phone"": ""+55 21 271O-4O72"", ""smoking"": ""no"", ""website"": ""http://www.restauranteativa.com.br/ativarestaurante/index.php""}"
Antônio's Bar,-22.9129588,-43.1819792,"{""@id"": ""node/448811932"", ""addr:housenumber"": ""88"", ""addr:street"": ""Avenida Mem de S\u00e1"", ""amenity"": ""pub"", ""name"": ""Ant\u00f4nio's Bar"", ""source"": ""survey""}"
Restaurante Bar Brasil,-22.912878,-43.1821393,"{""@id"": ""node/448811933"", ""addr:housenumber"": ""90"", ""addr:street"": ""Avenida Mem de S\u00e1"", ""amenity"": ""restaurant"", ""name"": ""Restaurante Bar Brasil"", ""source"": ""survey""}"
Bistrô da Lapa,-22.9127151,-43.1820602,"{""@id"": ""node/448811934"", ""amenity"": ""restaurant"", ""name"": ""Bistr\u00f4 da Lapa"", ""source"": ""survey""}"
Barbieri Botequim,-22.9129035,-43.1822968,"{""@id"": ""node/448811935"", ""addr:housenumber"": ""92"", ""addr:street"": ""Avenida Mem de S\u00e1"", ""amenity"": ""pub"", ""name"": ""Barbieri Botequim"", ""source"": ""survey""}"
Bistrô MAC,-22.9077484,-43.1258559,"{""@id"": ""node/448819459"", ""addr:street"": ""Praia da Boa Viagem"", ""amenity"": ""restaurant"", ""name"": ""Bistr\u00f4 MAC"", ""note"": ""S/N"", ""opening_hours"": ""Tu-Th 09:00-18:00; Fr-Sa 09:00-24:00; Su 09:00-18:00"", ""phone"": ""+55 21 2629-1416"", ""underground"": ""yes"", ""website"": ""http://www.bistromac.com.br/""}"
Vitória Pizzaria,-1.2973402,-48.4838235,"{""@id"": ""node/449386949"", ""amenity"": ""restaurant"", ""cuisine"": ""italian"", ""name"": ""Vit\u00f3ria Pizzaria"", ""source"": ""survey""}"
Almirante,-19.934129,-43.9563095,"{""@id"": ""node/451001079"", ""amenity"": ""restaurant"", ""name"": ""Almirante""}"
Brazuca,-22.7993297,-43.2026425,"{""@id"": ""node/452638331"", ""amenity"": ""restaurant"", ""name"": ""Brazuca""}"
Catetelândia,-22.9278659,-43.1770535,"{""@id"": ""node/452657795"", ""amenity"": ""restaurant"", ""name"": ""Catetel\u00e2ndia""}"
Capitania dos Copos,-22.7842771,-43.2263546,"{""@id"": ""node/452659120"", ""amenity"": ""restaurant"", ""name"": ""Capitania dos Copos""}"
A Granel,-19.9258482,-43.9900785,"{""@id"": ""node/452817536"", ""addr:city"": ""Belo Horizonte"", ""addr:housenumber"": ""265"", ""addr:street"": ""Rua Cora\u00e7\u00e3o Eucar\u00edstico de Jesus"", ""addr:suburb"": ""Cora\u00e7\u00e3o Eucar\u00edstico"", ""amenity"": ""restaurant"", ""name"": ""A Granel""}"
Broadway,-22.9057467,-43.1128689,"{""@id"": ""node/452867521"", ""addr:postcode"": ""24220-045"", ""addr:street"": ""Rua Presidente Backer"", ""amenity"": ""pub"", ""name"": ""Broadway""}"
Friends,-22.905933,-43.1130308,"{""@id"": ""node/452867523"", ""addr:postcode"": ""24220-045"", ""addr:street"": ""Rua Presidente Backer"", ""amenity"": ""pub"", ""name"": ""Friends""}"
Boteco Tropical,-22.9631926,-43.175437,"{""@id"": ""node/454457632"", ""addr:housenumber"": ""237"", ""addr:street"": ""Avenida Prado Junior"", ""amenity"": ""bar"", ""name"": ""Boteco Tropical"", ""opening_hours"": ""24/7"", ""phone"": ""+552134746846""}"
WestFalia,-22.9200361,-43.1770396,"{""@id"": ""node/456173503"", ""amenity"": ""restaurant"", ""name"": ""WestFalia""}"
Santa Panela espetinhos,-23.5528955,-46.5647469,"{""@id"": ""node/459155903"", ""amenity"": ""restaurant"", ""name"": ""Santa Panela espetinhos""}"
Sachinha,-23.5508642,-46.6967618,"{""@id"": ""node/465084475"", ""addr:housenumber"": ""208"", ""addr:street"": ""Rua Pascoal Vita"", ""amenity"": ""restaurant"", ""name"": ""Sachinha"", ""phone"": ""+55 11 3815-0809"", ""website"": ""https://www.bardosacha.com/site/index.html""}"
El Kabong Grill,-23.5657001,-46.6834399,"{""@id"": ""node/465994688"", ""addr:city"": ""S\u00e3o Paulo"", ""addr:country"": ""BR"", ""addr:housenumber"": ""15"", ""addr:postcode"": ""05415-040"", ""addr:street"": ""Rua Mateus Grou"", ""amenity"": ""restaurant"", ""cuisine"": ""japanese"", ""name"": ""El Kabong Grill"", ""website"": ""http://www.elkabong.com.br/"", ""wheelchair"": ""limited""}"
La Mole,-22.9419633,-43.1814054,"{""@id"": ""node/468728532"", ""amenity"": ""restaurant"", ""name"": ""La Mole""}"
Terra Brasilis,-22.9562468,-43.1649444,"{""@id"": ""node/473242051"", ""addr:postcode"": ""22290-270"", ""addr:street"": ""Pra\u00e7a General Tib\u00farcio"", ""amenity"": ""restaurant"", ""cuisine"": ""brazilian"", ""name"": ""Terra Brasilis"", ""phone"": ""+552122754651""}"
Tango,-22.9344651,-43.1758761,"{""@id"": ""node/481485468"", ""addr:city"": ""Rio de Janeiro"", ""addr:housenumber"": ""44"", ""addr:postcode"": ""22230-001"", ""addr:street"": ""Rua Senador Vergueiro"", ""addr:suburb"": ""Flamengo"", ""amenity"": ""restaurant"", ""cuisine"": ""argentinian"", ""name"": ""Tango"", ""opening_hours"": ""Mo 17:00-24:00; Tu-Su 12:00-01:00"", ""phone"": ""+55 21 2225-5592"", ""website"": ""http://www.restaurantetango.com.br/""}"
Treviso,-21.7054824,-47.4812467,"{""@id"": ""node/489908787"", ""amenity"": ""restaurant"", ""cuisine"": ""pizza;regional"", ""name"": ""Treviso""}"
Alemão Lanches,-1.4512557,-48.4872807,"{""@id"": ""node/491465042"", ""amenity"": ""restaurant"", ""crossing"": ""uncontrolled"", ""highway"": ""traffic_signals"", ""name"": ""Alem\u00e3o Lanches"", ""name:pt"": ""Alem\u00e3o Lanches""}"
